quality_4,quality_3,Row_composition_average,Period_composition_average,Electronegativity_difference,ThermalConductivity_difference,SpaceGroupNumber_composition_average,Column_composition_average,SpecificHeatCapacity_composition_average,ShearModulus_difference,BCCvolume_padiff_difference,Group_composition_average,BCCvolume_padiff_arithmetic_average,ThermalExpansionCoefficient_composition_average,HeatCapacityMass_composition_average,ElectricalConductivity_difference,ThermalExpansionCoefficient_difference,BCCfermi_composition_average,NpValence_composition_average,MendeleevNumber_arithmetic_average,AtomicNumber_composition_average,MeltingT_difference,MendeleevNumber_difference,Group_difference,BCCvolume_padiff_composition_average
0.0,0.0,4.58,4.58,0.5799999999999998,214.3,204.54,6.28,0.37092,50.0,0.0,6.28,0.0016666666666666,9.094,0.37068,35.400000000000006,17.400000000000002,4.7365453552000005,0.08,59.33333333333333,34.72,1194.53,29.0,9.0,-0.2559
0.0,0.0,4.58,4.58,0.5799999999999998,378.3,204.54,6.35,0.36679,50.0,0.0,6.35,0.0037499999999999,9.311,0.36655,58.400000000000006,17.400000000000002,4.6863516585000005,0.08,60.5,34.79,1194.53,29.0,9.0,-0.2559
0.0,0.0,4.58,4.58,0.5799999999999998,378.3,204.54,6.4,0.36384,50.0,0.0,6.4,0.0037499999999999,9.466,0.3636,58.400000000000006,17.400000000000002,4.6504990180000005,0.08,60.5,34.84,1194.53,29.0,9.0,-0.2559
0.0,0.0,4.57,4.57,0.5799999999999998,378.3,204.54,6.470000000000001,0.36604,50.0,0.0,6.470000000000001,0.0037499999999999,9.687,0.36577,58.400000000000006,17.400000000000002,4.648499714700001,0.09,60.5,34.730000000000004,1194.53,29.0,9.0,-0.2516
0.0,0.0,4.575,4.575,0.5799999999999998,378.3,204.85,6.5,0.359975,50.0,0.0,6.5,0.0037499999999999,9.665,0.35975,58.400000000000006,17.400000000000002,4.6063971275,0.075,60.5,34.85,1194.53,29.0,9.0,-0.2535
0.0,0.0,4.470000000000001,4.470000000000001,0.5799999999999998,379.1,205.78,6.78,0.38713,50.0,0.0,6.78,0.033,10.361,0.38688,58.400000000000006,17.400000000000002,4.6186151008,0.1,57.0,33.24,1194.53,30.0,9.0,-0.19935
0.0,0.0,3.984984984984985,3.984984984984985,0.5799999999999998,379.1,201.72672672672672,5.246746746746747,0.6606031031031031,99.0,0.0,5.246746746746747,-0.073,9.68943943943944,0.6607682682682683,58.400000000000006,10.8,4.903208261536537,0.0,55.8,26.98048048048048,770.23,24.0,9.0,-0.1622472472472472
0.0,0.0,3.9738,3.9738,0.5799999999999998,379.1,201.3625,5.1377,0.6750822000000001,99.0,0.0,5.1377,-0.073,9.5841,0.6752334,58.400000000000006,10.8,4.968076347298,0.0,55.8,26.9161,770.23,24.0,9.0,-0.171536
0.0,0.0,3.962,3.962,0.5799999999999998,379.1,200.975,5.025,0.68986,99.0,0.0,5.025,-0.073,9.4802,0.6899980000000001,58.400000000000006,10.8,5.0312119509,0.0,55.8,26.841,770.23,24.0,9.0,-0.18064
0.0,0.0,3.9513,3.9513,0.5799999999999998,379.1,200.5875,4.9125,0.7043565,99.0,0.0,4.9125,-0.073,9.37373,0.7044802,58.400000000000006,10.8,5.09558123361,0.0,55.8,26.7859,770.23,24.0,9.0,-0.1903985
